u 112,3 -8,56 8,36 93,63 93.80 0.000000 0.000000 31.00

u 112,3 -8,56 8,36 93,63 93.72 0.000000 0.000000 31.00

u 112,3 -8,56 8,36 93,63 93.72 0.000000 0.000000 31.00

u 112,3 -8,56 8,36 93,63 93.72 0.000000 0.000000 31.00

u 112,3 -8,56 8,36 93,63 93.72 0.000000 0.000000 31.00

u 112,3 -8,56 8,36 93,63 93.72 0.000000 0.000000 31.00

u 112,3 -8,56 8,36 93,63 93.72 0.000000 0.000000 31.00

u 112,3 -8,56 8,36 93,63 93.97 0.000000 0.000000 31.00

u 112,3 -8,56 8,36 93,63 93.97 0.000000 0.000000 31.00

u 112,3 -8,56 8,36 93,63 93.97 0.000000 0.000000 31.00

u 112,3 -8,56 8,36 93,63 93.97 0.000000 0.000000 31.00

u 112,3 -8,56 8,36 93,63 93.97 0.000000 0.000000 31.00

u 112,3 -8,56 8,36 93,63 93.97 0.000000 0.000000 31.00

u 112,3 -8,56 8,36 93,63 93.97 0.000000 0.000000 31.00

u 112,3 -8,56 8,36 93,63 93.97 0.000000 0.000000 31.00

u 112,3 -8,56 8,36 93,63 93.97 0.000000 0.000000 31.00

u 112,3 -8,56 8,36 93,63 93.88 0.000000 0.000000 31.00

u 112,3 -8,56 8,36 93,63 93.88 0.000000 0.000000 31.00

u 112,3 -8,56 8,36 93,63 93.88 0.000000 0.000000 31.00

u 112,3 -8,56 8,36 93,63 93.88 0.000000 0.000000 31.00

u 112,3 -8,56 8,36 93,63 93.88 0.000000 0.000000 31.00

u 112,3 -8,56 8,36 93,63 93.88 0.000000 0.000000 31.00

u 112,3 -8,56 8,36 93,63 93.88 0.000000 0.000000 31.00

u 112,3 -8,56 8,36 93,63 93.88 0.000000 0.000000 31.00

u 112,3 -8,56 8,36 93,63 93.88 0.000000 0.000000 31.00

u 112,3 -8,56 8,36 93,63 93.88 0.000000 0.000000 31.00

u 112,3 -8,56 8,36 93,63 93.72 0.000000 0.000000 31.00

u 112,3 -8,56 8,36 93,63 93.72 0.000000 0.000000 31.00

u 112,3 -8,56 8,36 93,63 93.72 0.000000 0.000000 31.00

u 112,3 -8,56 8,36 93,63 93.72 0.000000 0.000000 32.00

u 112,3 -8,56 8,36 93,63 93.72 0.000000 0.000000 32.00

u 112,3 -8,56 8,36 93,63 93.72 0.000000 0.000000 32.00

u 112,3 -8,56 8,36 93,63 93.72 0.000000 0.000000 32.00

u 112,3 -8,56 8,36 93,63 93.72 0.000000 0.000000 32.00

u 112,3 -8,56 8,36 93,63 93.63 0.000000 0.000000 32.00

u 112,3 -8,56 8,36 93,63 93.63 0.000000 0.000000 32.00

