u 113,14 -3,11 1,63 439,74 440.96 -7.334628 109.2282568 36.00

u 113,14 -3,11 1,63 439,74 440.96 -7.334628 109.2282568 36.00

u 113,14 -3,11 1,63 439,74 440.96 -7.334628 109.2282568 36.00

u 113,14 -3,11 1,63 439,74 440.96 -7.334628 109.2282568 36.00

u 113,14 -3,11 1,63 439,74 440.96 -7.334628 109.2282568 36.00

u 113,14 -3,11 1,63 439,74 440.96 -7.334628 109.2282568 36.00

u 113,14 -3,11 1,63 439,74 440.96 -7.334628 109.2282568 36.00

u 113,14 -3,11 1,63 439,74 440.96 -7.334628 109.2282568 36.00

u 113,14 -3,11 1,63 439,74 440.96 -7.334628 109.2282568 36.00

u 113,14 -3,11 1,63 439,74 440.96 -7.334628 109.2282568 36.00

u 113,14 -3,11 1,63 439,74 440.96 -7.334628 109.2282568 36.00

u 113,14 -3,11 1,63 439,74 440.96 -7.334628 109.2282568 36.00

u 113,14 -3,11 1,63 439,74 440.96 -7.334628 109.2282568 36.00

u 113,14 -3,11 1,63 439,74 440.96 -7.334628 109.2282568 36.00

u 113,14 -3,11 1,63 439,74 440.96 -7.334628 109.2282568 36.00

u 113,14 -3,11 1,63 439,74 440.96 -7.334628 109.2282568 36.00

u 113,14 -3,11 1,63 439,74 440.96 -7.334628 109.2282568 36.00

u 113,14 -3,11 1,63 439,74 440.96 -7.334628 109.2282568 36.00

u 113,14 -3,11 1,63 439,74 440.96 -7.334628 109.2282568 36.00

u 113,14 -3,11 1,63 439,74 440.96 -7.334628 109.2282568 36.00

u 113,14 -3,11 1,63 439,74 440.96 -7.334628 109.2282568 36.00

u 113,14 -3,11 1,63 439,74 440.96 -7.334628 109.2282568 36.00

u 113,14 -3,11 1,63 439,74 440.96 -7.334628 109.2282568 36.00

u 113,14 -3,11 1,63 439,74 440.96 -7.334628 109.2282568 36.00

u 113,14 -3,11 1,63 439,74 440.96 -7.334628 109.2282568 36.00

u 113,14 -3,11 1,63 439,74 440.96 -7.334628 109.2282568 36.00

u 113,14 -3,11 1,63 439,74 440.96 -7.334628 109.2282568 36.00

u 113,14 -3,11 1,63 439,74 440.96 -7.334628 109.2282568 36.00

u 113,14 -3,11 1,63 439,74 440.96 -7.334628 109.2282568 36.00

u 113,14 -3,11 1,63 439,74 440.96 -7.334628 109.2282568 36.00

u 113,14 -3,11 1,63 439,74 440.96 -7.334628 109.2282568 36.00

u 113,14 -3,11 1,63 439,74 440.96 -7.334628 109.2282568 36.00

u 113,14 -3,11 1,63 439,74 440.96 -7.334628 109.2282568 36.00

u 113,14 -3,11 1,63 439,74 440.96 -7.334628 109.2282568 36.00

u 113,14 -3,11 1,63 439,74 440.96 -7.334628 109.2282568 36.00

u 113,14 -3,11 1,63 439,74 440.96 -7.334628 109.2282568 36.00

u 113,14 -3,11 1,63 439,74 440.96 -7.334628 109.2282568 36.00

u 113,14 -3,11 1,63 439,74 440.96 -7.334628 109.2282568 36.00

u 113,14 -3,11 1,63 439,74 440.96 -7.334628 109.2282568 36.00

u 113,14 -3,11 1,63 439,74 440.96 -7.334628 109.2282568 36.00

u 113,14 -3,11 1,63 439,74 440.96 -7.334628 109.2282568 36.00

u 113,14 -3,11 1,63 439,74 440.96 -7.334628 109.2282568 36.00

u 113,14 -3,11 1,63 439,74 440.96 -7.334628 109.2282568 36.00

u 113,14 -3,11 1,63 439,74 440.96 -7.334628 109.2282568 36.00

u 113,14 -3,11 1,63 439,74 440.96 -7.334628 109.2282568 36.00

u 113,14 -3,11 1,63 439,74 440.96 -7.334628 109.2282568 36.00

u 113,14 -3,11 1,63 439,74 440.96 -7.334628 109.2282568 36.00

u 113,14 -3,11 1,63 439,74 440.96 -7.334628 109.2282568 36.00

u 113,14 -3,11 1,63 439,74 440.96 -7.334628 109.2282568 36.00

u 113,14 -3,11 1,63 439,74 440.96 -7.334628 109.2282568 36.00

u 113,14 -3,11 1,63 439,74 440.96 -7.334628 109.2282568 36.00

u 113,14 -3,11 1,63 439,74 440.96 -7.334628 109.2282568 36.00

